Time,NS,UD,EW
34.972,17080.0,185489.19591128826,-45514.0
34.976,-121100.0,349995.3124357462,-153545.0
34.980000000000004,-164273.0,399459.99938583374,-159815.0
34.984,-67658.0,302448.7488129139,-59233.0
34.988,124331.0,104752.24828648567,79517.0
34.992,306467.0,-96701.17800498009,168606.0
34.996,376885.0,-208005.51203668118,171128.0
35.0,291450.0,-184919.52770507336,113153.0
35.004,86172.0,-49721.57846713066,39650.0
35.008,-139334.0,123206.07294762135,-24487.0
35.012,-276786.0,245040.25505685806,-74076.0
35.016,-273562.0,257142.09894394875,-103055.0
35.02,-160883.0,160386.838514328,-98222.0
35.024,-29050.0,13017.639611005783,-58201.0
35.028,30172.0,-104414.23313248158,-11873.0
35.032000000000004,-19562.0,-137949.84327840805,-2470.0
35.036,-138075.0,-88138.1274368763,-45076.0
35.04,-241326.0,2627.5044637918472,-104687.0
35.044000000000004,-263395.0,85758.50075268745,-122948.0
35.048,-197301.0,133701.66882288456,-69943.0
35.052,-87734.0,145178.86070537567,26554.0
35.056,8848.0,132683.1164921522,100444.0
35.06,62880.0,104105.06193828583,98048.0
35.064,83987.0,54766.56731235981,15894.0
35.068,102168.0,-20804.607385516167,-103305.0
35.072,135306.0,-109144.64254105091,-203105.0
35.076,172150.0,-174122.8729993105,-239843.0
35.08,184834.0,-177498.5176706314,-191621.0
35.084,154314.0,-106253.93694400787,-66352.0
35.088,83502.0,14605.860147953033,86663.0
35.092,-6929.0,129599.51691389084,187078.0
35.096000000000004,-90427.0,176868.45742356777,170028.0
35.1,-148556.0,121466.42162168026,37093.0
35.104,-182894.0,-18937.86236166954,-137387.0
35.108000000000004,-213670.0,-176744.96922063828,-256669.0
35.112,-258968.0,-270877.2320551872,-268553.0
35.116,-309642.0,-256561.6142528057,-193908.0
35.12,-327087.0,-154183.58440804482,-97460.0
35.124,-272390.0,-36199.16955947876,-30928.0
35.128,-143420.0,19066.758807063103,3510.0
35.132,13003.0,-22242.298507213593,43084.0
35.136,126755.0,-125849.80213880539,120399.0
35.14,151536.0,-210926.86434102058,225060.0
35.144,97855.0,-206438.9244695902,301633.0
35.148,23195.0,-100517.59443712234,281199.0
35.152,-13212.0,54783.69341349602,124920.0
35.156,8997.0,180132.33175063133,-138225.0
35.160000000000004,67112.0,213035.17752826214,-399724.0
35.164,121792.0,133990.10842096806,-512615.0
35.168,145458.0,-27539.6720007658,-383055.0
35.172000000000004,133052.0,-203196.6831123829,-50662.0
